STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,AGG_METHOD,AGG_METHOD_LABEL,DECIMALS,DECIMALS_LABEL,DATABASE_ID,DATABASE_ID_LABEL,COMMENT_TS,UNIT_MULT,UNIT_MULT_LABEL,DATA_SOURCE,DATA_SOURCE_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,IDX,IDA only,WB_WDI_SL_UEM_TOTL_ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_LF,Percentage of labor force,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1991,4.554651609545219,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Unemployment, total (% of total labor force) (modeled ILO estimate)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,IDA,IDA total,WB_WDI_SL_UEM_TOTL_ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_LF,Percentage of labor force,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1991,4.108070396247977,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Unemployment, total (% of total labor force) (modeled ILO estimate)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,LTE,Late-demographic dividend,WB_WDI_SL_UEM_TOTL_ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_LF,Percentage of labor force,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1991,3.647131801526076,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Unemployment, total (% of total labor force) (modeled ILO estimate)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,LCN,Latin America & Caribbean,WB_WDI_SL_UEM_TOTL_ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_LF,Percentage of labor force,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1991,6.328638996729395,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Unemployment, total (% of total labor force) (modeled ILO estimate)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,LAC,Latin America & Caribbean (excluding high income),WB_WDI_SL_UEM_TOTL_ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_LF,Percentage of labor force,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1991,6.044786375868929,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Unemployment, total (% of total labor force) (modeled ILO estimate)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,TLA,Latin America & Caribbean (IDA & IBRD),WB_WDI_SL_UEM_TOTL_ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_LF,Percentage of labor force,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1991,6.202907241256785,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Unemployment, total (% of total labor force) (modeled ILO estimate)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,LDC,Least developed countries: UN classification,WB_WDI_SL_UEM_TOTL_ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_LF,Percentage of labor force,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1991,4.551849547999416,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Unemployment, total (% of total labor force) (modeled ILO estimate)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,LMY,Low & middle income,WB_WDI_SL_UEM_TOTL_ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_LF,Percentage of labor force,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1991,4.666120763989951,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Unemployment, total (% of total labor force) (modeled ILO estimate)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,LIC,Low income,WB_WDI_SL_UEM_TOTL_ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_LF,Percentage of labor force,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1991,5.089822796940446,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Unemployment, total (% of total labor force) (modeled ILO estimate)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,LMC,Lower middle income,WB_WDI_SL_UEM_TOTL_ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_LF,Percentage of labor force,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1991,6.079498321294351,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Unemployment, total (% of total labor force) (modeled ILO estimate)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
